Date,TransactionName,Cost
2026-01-01,Giant,16 
2026-01-01,Popeyes,14 
2026-01-02,Subway,21 
2026-01-03,Flamers,20 
2026-01-07,Ross,15 
2026-01-07,Manny and Olgas,24 
2026-01-07,Giant,35 
2026-01-10,McDonalds,5 
2026-01-10,Popeyes,25 
2026-01-11,McDonalds,13 
2026-01-14,DCBreezeClinc,32 
2026-01-14,Dunkin,14 
2026-01-14,HomeDepot,6 
2026-01-17,McDonalds,6 
2026-01-17,McDonalds,15 
2026-01-19,CVS,2 
2026-01-19,AnyDayNow,27 
